epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5557,2.06333,3.96361,1.70267,0.00411,0.33333,0.02721,0.01115,2.84532,3.88478,1.92948,4e-05,4e-05,4e-05
2,21.846,2.2017,3.8784,1.89637,0.00419,0.33333,0.02303,0.01057,2.82271,3.90906,1.93411,8.8218e-05,8.8218e-05,8.8218e-05
3,23.1457,2.02303,3.86359,1.7843,0.00429,0.33333,0.02842,0.01273,2.82558,3.94141,1.91253,0.000134456,0.000134456,0.000134456
4,24.4163,2.13264,3.7521,1.82838,0.00617,0.5,0.06743,0.0288,2.65573,3.86498,1.80572,0.000178714,0.000178714,0.000178714
5,25.6911,2.01341,3.76674,1.72719,0.00585,0.5,0.14047,0.05278,2.47922,3.78899,1.75238,0.000220992,0.000220992,0.000220992
6,26.9529,1.89097,3.87979,1.70802,0.00651,0.5,0.13449,0.06469,2.36543,3.74288,1.65949,0.00026129,0.00026129,0.00026129
7,28.4681,1.91676,3.49237,1.6345,0.00729,0.5,0.15351,0.08031,2.17801,3.62999,1.49803,0.000299608,0.000299608,0.000299608
8,30.0497,1.85947,3.62449,1.56806,0.00729,0.5,0.15351,0.08031,2.17801,3.62999,1.49803,0.000335946,0.000335946,0.000335946
9,31.8297,2.01633,3.59204,1.71166,0.00821,0.5,0.23472,0.10414,1.98468,3.5494,1.40391,0.000370304,0.000370304,0.000370304
10,33.4732,1.73629,3.58339,1.57396,0.00912,0.5,0.2209,0.13182,1.7271,3.30794,1.24328,0.000402682,0.000402682,0.000402682
11,35.4632,1.86843,3.33934,1.64783,0.00912,0.5,0.2209,0.13182,1.7271,3.30794,1.24328,0.00043308,0.00043308,0.00043308
12,37.0256,1.9741,3.49401,1.68597,0.9284,0.11853,0.26243,0.16697,1.57371,3.12603,1.17671,0.000461498,0.000461498,0.000461498
13,38.7233,1.84224,3.3697,1.65152,0.9284,0.11853,0.26243,0.16697,1.57371,3.12603,1.17671,0.000487936,0.000487936,0.000487936
14,40.3916,1.84214,3.46245,1.61855,0.9284,0.11853,0.26243,0.16697,1.57371,3.12603,1.17671,0.000512394,0.000512394,0.000512394
15,42.0539,1.9141,3.46135,1.6906,0.94168,0.15838,0.33706,0.20692,1.57004,2.87203,1.17859,0.000534872,0.000534872,0.000534872
16,43.6952,2.02396,3.38875,1.65182,0.94168,0.15838,0.33706,0.20692,1.57004,2.87203,1.17859,0.00055537,0.00055537,0.00055537
17,45.6935,1.97507,3.36461,1.63709,0.94168,0.15838,0.33706,0.20692,1.57004,2.87203,1.17859,0.000573888,0.000573888,0.000573888
